,frequency,peak flux density,duty cycle,loss calculted by SE,loss calculted by iGSE,Measured loss,error for SE,error for iGSE,loss error percent by iGSE
1560,360000.0,0.0937,0.4,31.588875660666304,558.2618854424512,677.060938,0.9533441173641207,0.17546286588098625,1.2128016539466857
1561,360000.0,0.1051,0.4,42.08256739452281,743.7141375429944,889.424875,0.9526856415000504,0.16382579524437701,1.1959230436823343
1562,360000.0,0.1179,0.4,56.07768933103435,991.0462440478939,1162.04975,0.9517424367321327,0.1471567856299664,1.172548462777729
1563,360000.0,0.1319,0.4,74.22152453577425,1311.6974682118362,1514.39225,0.9509892337762728,0.13384562803207947,1.1545286064053217
1564,360000.0,0.1482,0.4,99.29955557482319,1754.8949102935237,1975.4303799999998,0.9497326979577871,0.1116392012288867,1.1256687613673626
1565,370000.0,0.011,0.4,0.1565198717669497,2.766134498121132,3.48755,0.9551203934662014,0.20685452592188444,1.2608027564707653
1566,370000.0,0.0122,0.4,0.2027245786092487,3.582698121188477,4.5416099999999995,0.9553628385948488,0.2111391948695556,1.2676507610675904
1567,370000.0,0.0138,0.4,0.2758088586021732,4.874297365914285,5.8306000000000004,0.9526963162278028,0.1640144468983836,1.1961929201884751
1568,370000.0,0.0154,0.4,0.36276597144651773,6.411067534330334,7.7637,0.9532740869113286,0.17422523612062113,1.2109839677131018
1569,370000.0,0.0173,0.4,0.4851198576676796,8.573395562297767,10.2959,0.9528822290749055,0.16730003571346191,1.200912745152818
1570,370000.0,0.0192,0.4,0.6293690858981736,11.122674206800035,13.1796104,0.9522467609590208,0.15606957495495957,1.1849318028161269
1571,370000.0,0.0218,0.4,0.8643592613302563,15.27559372841873,17.7951895,0.9514273640451956,0.1415885889600259,1.1649425754819474
1572,370000.0,0.0243,0.4,1.1336627324621298,20.03492309377118,23.678,0.9521216854268886,0.1538591479951356,1.181836330949603
1573,370000.0,0.0271,0.4,1.4886964742893263,26.309340969141633,31.2736191,0.9523976911808929,0.15873692504166773,1.1886888058762475
1574,370000.0,0.0304,0.4,1.9837048901486982,35.05749441771882,41.956628900000005,0.9527201078314301,0.16443490964740456,1.1967948536217754
1575,370000.0,0.0342,0.4,2.662357031730323,47.05113509644259,57.9356406,0.9540463002711612,0.18787235958442836,1.231333537038947
1576,370000.0,0.0381,0.4,3.486816171981709,61.621584486640764,74.1425781,0.9529714738637917,0.16887723537845567,1.2031916854730296
1577,370000.0,0.0427,0.4,4.635506503815775,81.92208638888779,99.44428909999999,0.953385895301093,0.17620119636525414,1.2138886286163846
1578,370000.0,0.0478,0.4,6.144818345138108,108.59575731369371,132.163859,0.9535060614026252,0.17832486025023142,1.2170259894981588
1579,370000.0,0.0536,0.4,8.180159182988776,144.5658002447046,174.121234,0.9530203238567171,0.16974054844623593,1.2044427776505044
1580,370000.0,0.0603,0.4,10.978701736159465,194.02370621789385,233.58315599999997,0.9529987438984707,0.1693591715239353,1.2038897748797759
1581,370000.0,0.0668,0.4,14.178126141627896,250.5662916556981,309.085469,0.9541287845478498,0.18933008249670216,1.2335476849564138
1582,370000.0,0.0749,0.4,18.87090613091773,333.500557279139,407.720312,0.9537160509900774,0.18203595096057168,1.2225476182900026
1583,370000.0,0.084,0.4,25.130248886086235,444.12027434877825,544.329,0.9538326106342189,0.18409587887329484,1.2256342064053698
1584,370000.0,0.0941,0.4,33.37212599734781,589.7767992958525,710.2110620000001,0.9530109740851266,0.16957531239375093,1.2042031203125263
1585,370000.0,0.1053,0.4,44.19700436654987,781.0820256354111,931.646438,0.9525603248573254,0.1616111072005074,1.1927638934490965
1586,370000.0,0.1183,0.4,59.11432928129322,1044.7119826532173,1219.14462,0.9515116350336736,0.1430778879594963,1.166967202677031
1587,370000.0,0.1317,0.4,77.28789166866817,1365.8885674917533,1566.40912,0.9506591919812953,0.1280128862555695,1.1468059381128521
1588,370000.0,0.1484,0.4,104.14500584707237,1840.5272776452907,2055.98525,0.9493454508746733,0.10479548545142016,1.117063178020572
1589,380000.0,0.0109,0.4,0.15972625250446335,2.822800020984283,3.67074,0.956486634165192,0.2309997382042086,1.3003896743347934
1590,380000.0,0.0122,0.4,0.21165159916766105,3.740463005949104,4.77957,0.9557174391906257,0.21740595786878228,1.2778017032646023
1591,380000.0,0.0137,0.4,0.2827696186138774,4.997313045547515,6.24342,0.9547091788452678,0.19958723815672902,1.2493553922067653
1592,380000.0,0.0152,0.4,0.36657182071560757,6.478327306773499,8.01576,0.9542686132424614,0.19180123821403097,1.237319391321741
1593,380000.0,0.0171,0.4,0.49198097426841964,8.694650270154906,10.70504,0.9540421171459031,0.18779843231273255,1.231221460021908
