,frequency,peak flux density,analytical loss,Measured loss,loss calculted by iGSE,loss calculted by SE,loss error percent by iGSE
474,250000.0,0.027,0.0,38.0652891,22.98365117916223,0.1,1.6561898195927767
475,250000.0,0.0303,0.0,49.3309883,30.65674494513197,0.1,1.6091397957705664
476,250000.0,0.0337,0.0,62.36644140000001,39.98628752706993,0.1,1.559695717132508
477,250000.0,0.0377,0.0,79.3305625,52.91783005707824,0.1,1.4991272774116484
478,250000.0,0.0423,0.0,104.664969,70.55203936933509,0.1,1.483514437507413
479,250000.0,0.0474,0.0,133.837547,93.75955109140985,0.1,1.4274550746250538
480,250000.0,0.0531,0.0,173.039141,124.51371722848756,0.1,1.3897195012053682
481,250000.0,0.0595,0.0,225.800797,165.4566968694591,0.1,1.3647123463255812
482,250000.0,0.066,0.0,281.467969,214.373316056463,0.1,1.3129804314164975
483,250000.0,0.0742,0.0,379.400344,287.2295397569222,0.1,1.3208959785998353
484,250000.0,0.0835,0.0,483.114125,385.78311832531926,0.1,1.2522946237180976
485,250000.0,0.0935,0.0,628.4445,511.7615256806972,0.1,1.2280026310381618
486,250000.0,0.1048,0.0,828.866812,680.5383792850787,0.1,1.2179574837068612
487,250000.0,0.1175,0.0,1076.24938,905.6380574985054,0.1,1.1883879780546613
488,260000.0,0.0107,0.0,5.418159999999999,2.425028196023728,0.1,2.2342668051794417
489,260000.0,0.0121,0.0,7.049930000000001,3.29704330379315,0.1,2.138258236368708
490,260000.0,0.0135,0.0,8.976799999999999,4.33421109554101,0.1,2.0711496976313026
491,260000.0,0.0152,0.0,11.4818301,5.828970944898187,0.1,1.969786812893532
492,260000.0,0.017,0.0,15.386,7.709349497420245,0.1,1.995758527376216
493,260000.0,0.0191,0.0,19.4036602,10.31306600245782,0.1,1.881463785393762
494,260000.0,0.0213,0.0,24.665220700000003,13.54154335259853,0.1,1.8214482690606246
495,260000.0,0.0239,0.0,31.7364492,18.05609683847807,0.1,1.7576583402216086
496,260000.0,0.0267,0.0,40.541718800000005,23.813359714015,0.1,1.7024779068087472
497,260000.0,0.03,0.0,52.2567305,31.86064456616784,0.1,1.6401655149026817
498,260000.0,0.0334,0.0,67.72746090000001,41.66138105676366,0.1,1.6256652847806774
499,260000.0,0.0374,0.0,85.5332188,55.26600548029992,0.1,1.547664211600911
500,260000.0,0.0417,0.0,110.479281,72.53274801196697,0.1,1.5231641434814014
501,260000.0,0.0468,0.0,141.978656,96.7650285945017,0.1,1.467251734042968
502,260000.0,0.0524,0.0,184.150844,128.33457014493374,0.1,1.4349278124517078
503,260000.0,0.0589,0.0,238.589297,171.8748248376284,0.1,1.388157324526133
504,260000.0,0.0656,0.0,303.73175,224.9569476764176,0.1,1.3501772367435105
505,260000.0,0.0732,0.0,400.634656,295.8229215417163,0.1,1.3543056566139124
506,260000.0,0.0827,0.0,523.517188,401.2568903078518,0.1,1.3046933290001521
507,260000.0,0.0924,0.0,665.52675,529.3610190014315,0.1,1.2572265922704828
508,260000.0,0.1031,0.0,867.991125,696.0381383176577,0.1,1.2470453517072457
509,270000.0,0.0106,0.0,6.00492,2.517761714230565,0.1,2.3850231600789593
510,270000.0,0.012,0.0,7.69559,3.432464873488457,0.1,2.2420010935694954
511,270000.0,0.0133,0.0,9.60064,4.438146992970978,0.1,2.1632091084872234
512,270000.0,0.015,0.0,12.5825703,5.993861396943971,0.1,2.0992427863639533
513,270000.0,0.0168,0.0,16.7234805,7.9554208691219825,0.1,2.102149059757504
514,270000.0,0.0187,0.0,20.7072695,10.397051953036074,0.1,1.9916481704175006
515,270000.0,0.0209,0.0,26.0205391,13.727294931494976,0.1,1.895532894853176
516,270000.0,0.0235,0.0,33.6711094,18.399128230545276,0.1,1.8300383027985518
517,270000.0,0.0263,0.0,43.0173398,24.37412104324345,0.1,1.7648775815825568
