,airgap,frequency,thickness,dis_ver,current,analytical ac/dc,measured ac/dc,dcloss,acloss,error,abs error
310,0.0005,366666.66666667,7.000000000000001e-05,0.002,7.75,1.0149474882862393,1.2496554596027458,0.30072874409134,0.37580731691322,0.18781814580405876,0.18781814580405876
311,0.0005,366666.66666667,7.000000000000001e-05,0.003,7.75,1.0149474882862393,1.2677791496076314,0.30072874409134,0.38125763144669,0.19942878962762695,0.19942878962762695
312,0.0005,472222.22222222004,7.000000000000001e-05,0.001,7.75,1.0246883445382486,1.200185976237393,0.30072874409134,0.36093042130991,0.1462253643800546,0.1462253643800546
313,0.0005,472222.22222222004,7.000000000000001e-05,0.002,7.75,1.0246883445382486,1.3072490118587263,0.30072874409134,0.39312735355092,0.2161490769985098,0.2161490769985098
314,0.0005,472222.22222222004,7.000000000000001e-05,0.003,7.75,1.0246883445382486,1.3295601935618697,0.30072874409134,0.3998369672037,0.22930278034789417,0.22930278034789417
315,0.0005,577777.77777778,7.000000000000001e-05,0.001,7.75,1.0367660816795934,1.2982008610305051,0.30072874409134,0.390406314516,0.20138238018374613,0.20138238018374613
316,0.0005,577777.77777778,7.000000000000001e-05,0.002,7.75,1.0367660816795934,1.3558670603172043,0.30072874409134,0.40774819820401,0.23534827858636628,0.23534827858636628
317,0.0005,577777.77777778,7.000000000000001e-05,0.003,7.75,1.0367660816795934,1.3805369017518383,0.30072874409134,0.41516712863558,0.24901240932858473,0.24901240932858473
318,0.0005,683333.33333333,7.000000000000001e-05,0.001,7.75,1.0511067556795004,1.3272382030874643,0.30072874409134,0.39913867792454,0.20804965285479127,0.20804965285479127
319,0.0005,683333.33333333,7.000000000000001e-05,0.002,7.75,1.0511067556795004,1.3963561719224846,0.30072874409134,0.41992443788644,0.24725025261115824,0.24725025261115824
320,0.0005,683333.33333333,7.000000000000001e-05,0.003,7.75,1.0511067556795004,1.4247198867573367,0.30072874409134,0.42845422222649,0.2622362013407281,0.2622362013407281
321,0.0005,788888.88888889,7.000000000000001e-05,0.001,7.75,1.0676242682059842,1.3605088854225427,0.30072874409134,0.40914412843823,0.2152757841971721,0.2152757841971721
322,0.0005,788888.88888889,7.000000000000001e-05,0.002,7.75,1.0676242682059842,1.427800278299419,0.30072874409134,0.42938058450625,0.2522593779869705,0.2522593779869705
323,0.0005,788888.88888889,7.000000000000001e-05,0.003,7.75,1.0676242682059842,1.4510184106162263,0.30072874409134,0.43636294427803,0.26422417496923434,0.26422417496923434
324,0.0005,894444.4444444401,7.000000000000001e-05,0.001,7.75,1.0862217146155682,1.3921838350085283,0.30072874409134,0.41866969624638,0.21977134965877967,0.21977134965877967
325,0.0005,894444.4444444401,7.000000000000001e-05,0.002,7.75,1.0862217146155682,1.4527130752225308,0.30072874409134,0.43687257863674,0.25228062365365744,0.25228062365365744
326,0.0005,894444.4444444401,7.000000000000001e-05,0.003,7.75,1.0862217146155682,1.4786690113433532,0.30072874409134,0.44467827470807,0.26540577621982575,0.26540577621982575
327,0.0005,1000000.0,7.000000000000001e-05,0.001,7.75,1.1067928511748624,1.4083283148992014,0.30072874409134,0.42352480540791,0.21410878453148255,0.21410878453148255
328,0.0005,1000000.0,7.000000000000001e-05,0.002,7.75,1.1067928511748624,1.5017083186073625,0.30072874409134,0.45160685664631,0.2629774787414992,0.2629774787414992
329,0.0005,1000000.0,7.000000000000001e-05,0.003,7.75,1.1067928511748624,1.504258845060288,0.30072874409134,0.45237387326327,0.2642271276586683,0.2642271276586683
330,0.0005,50000.0,0.00010499999999999999,0.001,7.75,1.0014153265237513,1.028373357903485,0.20045063867472,0.20613809638782,0.026214245217993877,0.026214245217993877
331,0.0005,50000.0,0.00010499999999999999,0.002,7.75,1.0014153265237513,1.04335344731818,0.20045063867472,0.2091408648784,0.040195506999306733,0.040195506999306733
332,0.0005,50000.0,0.00010499999999999999,0.003,7.75,1.0014153265237513,1.0472567482086783,0.20045063867472,0.20992328403484,0.04377285872193067,0.04377285872193067
333,0.0005,155555.55555556001,0.00010499999999999999,0.001,7.75,1.013627257644973,1.1122167691664075,0.20045063867472,0.22294456172414,0.08864235305076922,0.08864235305076922
334,0.0005,155555.55555556001,0.00010499999999999999,0.002,7.75,1.013627257644973,1.1428616627751436,0.20045063867472,0.22908735022013,0.11307965726696817,0.11307965726696817
335,0.0005,155555.55555556001,0.00010499999999999999,0.003,7.75,1.013627257644973,1.2240543955621934,0.20045063867472,0.24536248536304,0.17190995651837335,0.17190995651837335
336,0.0005,261111.11111111002,0.00010499999999999999,0.001,7.75,1.0379935438320922,1.1796434308715495,0.20045063867472,0.23646027912664,0.12007856215907797,0.12007856215907797
337,0.0005,261111.11111111002,0.00010499999999999999,0.002,7.75,1.0379935438320922,1.2214686773328238,0.20045063867472,0.24484417649253,0.15020862745442193,0.15020862745442193
338,0.0005,261111.11111111002,0.00010499999999999999,0.003,7.75,1.0379935438320922,1.2378475672860643,0.20045063867472,0.24812733544444,0.16145285472600213,0.16145285472600213
339,0.0005,366666.66666667,0.00010499999999999999,0.001,7.75,1.073757656686459,1.2337579776004945,0.20045063867472,0.24730757458005,0.12968533846907004,0.12968533846907004
340,0.0005,366666.66666667,0.00010499999999999999,0.002,7.75,1.073757656686459,1.360430040897653,0.20045063867472,0.27269907057021,0.21072188616331852,0.21072188616331852
341,0.0005,366666.66666667,0.00010499999999999999,0.003,7.75,1.073757656686459,1.385779841028526,0.20045063867472,0.27778045419672,0.22515999663444666,0.22515999663444666
342,0.0005,472222.22222222004,0.00010499999999999999,0.001,7.75,1.1198572562561198,1.3698880161641551,0.20045063867472,0.27459492775295,0.18251912343035923,0.18251912343035923
343,0.0005,472222.22222222004,0.00010499999999999999,0.002,7.75,1.1198572562561198,1.4366173469478085,0.20045063867472,0.28797086472687,0.22049023100317364,0.22049023100317364
344,0.0005,472222.22222222004,0.00010499999999999999,0.003,7.75,1.1198572562561198,1.4631144805140375,0.20045063867472,0.29328223207327,0.23460722235304568,0.23460722235304568
345,0.0005,577777.77777778,0.00010499999999999999,0.001,7.75,1.1750051824046663,1.4298189718920855,0.20045063867472,0.286608126105,0.17821402184237561,0.17821402184237561
346,0.0005,577777.77777778,0.00010499999999999999,0.002,7.75,1.1750051824046663,1.5003866699310238,0.20045063867472,0.30075346624671,0.21686508821177142,0.21686508821177142
347,0.0005,577777.77777778,0.00010499999999999999,0.003,7.75,1.1750051824046663,1.5298712809095436,0.20045063867472,0.30666367534843,0.23195814114106464,0.23195814114106464
