dw (mm),D (mm),F (mm),dgap1 (mm),dgap2 (mm),fs (Hz),Vpri/mf.ICoil_p1 (Ω),#NAME?,Vpri/mf3.ICoil_5 (惟),#NAME?
5,10,2,0.75,0.75,5.00E+05,0.22197+7.8530i,0.092702+3.8269i,0.05953074804276201+1.9411199151135612i,0.09298678959450471+3.826212867971583i
5,10,2,0.75,0.75,1.00E+06,0.33246+15.564i,0.14423+7.5892i,0.08652359857230682+3.845160325080695i,0.14468702843975484+7.587518389551696i
5,10,2,0.75,1,5.00E+05,0.22194+7.8536i,0.092689+3.8272i,0.05938706637767358+1.9415824855117738i,0.09268501378053627+3.8271774946157437i
5,10,2,0.75,1,1.00E+06,0.33260+15.565i,0.14429+7.5899i,0.08634223782447242+3.846274931429638i,0.14429763233112333+7.589844967128437i
5,10,2,1,0.25,5.00E+05,0.18575+6.2163i,0.075302+3.0131i,0.05011594669515017+1.5312634253910118i,0.07536408631448976+3.0129642665557097i
5,10,2,1,0.25,1.00E+06,0.27554+12.317i,0.11671+5.9745i,0.07169699637071998+3.032463959534079i,0.11685504024820542+5.9742309468164825i
5,10,2,1,0.5,5.00E+05,0.18606+6.2142i,0.075452+3.0120i,0.050178549599814166+1.530806286289709i,0.07545258398856458+3.0120390883779344i
5,10,2,1,0.5,1.00E+06,0.27581+12.312i,0.11682+5.9723i,0.07173013159653685+3.031483593154483i,0.11681742242082503+5.972299595576536i
5,10,2,1,0.75,5.00E+05,0.18609+6.2141i,0.075467+3.0120i,0.05031942896315822+1.530488003340801i,0.07574293373798963+3.011397504881924i
5,10,2,1,0.75,1.00E+06,0.27646+12.312i,0.11715+5.9721i,0.07214130301427478+3.030701713309841i,0.11765504556016822+5.970720247770017i
5,10,2,1,1,5.00E+05,0.18756+6.2113i,0.076206+3.0106i,0.05054806284144206+1.5300902941641994i,0.07620630782798832+3.0105805856006573i
5,10,2,1,1,1.00E+06,0.27949+12.305i,0.11868+5.9686i,0.07264816049315596+3.0296563177955655i,0.11867676553114585+5.968574401733853i
5,10,3,0.25,0.25,5.00E+05,0.42559+20.638i,0.18652+10.098i,0.11171644059690736+5.142265531722601i,0.1865053853205044+10.097756545982268i
5,10,3,0.25,0.25,1.00E+06,0.72106+40.983i,0.32689+20.061i,0.18564628790961685+10.209250051750363i,0.32678718101857523+20.06076280944315i
5,10,3,0.25,0.5,5.00E+05,0.42693+20.633i,0.18714+10.096i,0.11208242941121499+5.1412838989928265i,0.18713813244515004+10.095916074369764i
5,10,3,0.25,0.5,1.00E+06,0.72456+40.973i,0.32847+20.057i,0.18655532187971102+10.206935559741481i,0.32838833370243253+20.05650875029094i
5,10,3,0.25,0.75,5.00E+05,0.42359+20.638i,0.18550+10.098i,0.11127844359421804+5.1432024615994685i,0.185579994322814+10.099703886688387i
5,10,3,0.25,0.75,1.00E+06,0.71413+40.987i,0.32335+20.063i,0.18450100907936978+10.211574285491087i,0.3243691581469216+20.065632731763454i
5,10,3,0.25,1,5.00E+05,0.42530+20.636i,0.18634+10.097i,0.11168159773624037+5.142017226800973i,0.18634981747715584+10.097342647310619i
5,10,3,0.25,1,1.00E+06,0.72006+40.980i,0.32625+20.060i,0.1854692730682428+10.208754290772683i,0.32624946372911934+20.0600551369283i
5,10,3,0.5,0.25,5.00E+05,0.29452+11.272i,0.12273+5.4375i,0.07870178403037709+2.797565357661811i,0.12292175698956187+5.437465330314665i
5,10,3,0.5,0.25,1.00E+06,0.45899+22.348i,0.19840+10.787i,0.11952742039390656+5.54422952941212i,0.198671063710688+10.787078716106107i
5,10,3,0.5,0.5,5.00E+05,0.29358+11.272i,0.12228+5.4376i,0.0783576658637792+2.797644210515341i,0.12227576741805557+5.437574392306696i
5,10,3,0.5,0.5,1.00E+06,0.45652+22.350i,0.19722+10.788i,0.1187401789620685+5.544822627705765i,0.1971834756860454+10.788104719549548i
5,10,3,0.5,0.75,5.00E+05,0.29367+11.274i,0.12232+5.4385i,0.07841172957079065+2.7980044390992056i,0.12232335952923439+5.438353111473289i
