,frequency,peak flux density,duty cycle,loss calculted by iGSE,loss calculted by SE,Measured loss,ratio igse,ratio se,error for iGSE,error for SE,loss error percent by iGSE
123,100000,0.0191,0.1,2.746104258,0.111606559,3.15087,1.147396349,28.23194289,0.128461581,0.964579129,1.147396349
2003,100000,0.0192,0.9,2.783856206,0.113140865,3.34032,1.199889561,29.52355013,0.166589966,0.966128735,1.199889561
1952,80000,0.0219,0.9,2.827400837,0.114910596,2.85639,1.010252937,24.85749878,0.010148881,0.959770691,1.010252937
433,240000,0.0118,0.1,2.828759014,0.114965795,5.75558,2.034666075,50.06341234,0.508518861,0.980025333,2.034666075
2193,180000,0.0139,0.9,2.842183124,0.115511375,4.58376,1.612760262,39.68232566,0.37994504,0.974799864,1.612760262
2277,220000,0.0125,0.9,2.893372557,0.117591804,5.38309,1.860489755,45.77776526,0.462507118,0.978155334,1.860489755
541,300000,0.0105,0.1,2.895480522,0.117677476,8.0597,2.783544886,68.48974225,0.640745869,0.985399273,2.783544886
2355,260000,0.0114,0.9,2.908117527,0.118191066,6.2172,2.137877834,52.6029607,0.532246425,0.980989663,2.137877834
1541,360000,0.0109,0.4,2.92530799,0.169714667,3.25255,1.111865831,19.16481385,0.100610909,0.947821043,1.111865831
197,130000,0.0169,0.1,2.934281977,0.119254436,3.68106,1.254501111,30.86727944,0.202870375,0.967603235,1.254501111
47,70000,0.024,0.1,2.951146332,0.119939833,3.49286,1.183560423,29.12176808,0.155091721,0.965661426,1.183560423
2392,280000,0.011,0.9,2.95416388,0.120062472,7.40119,2.505341714,61.64449121,0.600852852,0.98377795,2.505341714
333,190000,0.0137,0.1,2.963216577,0.120430389,4.5704,1.542377981,37.95055416,0.351650495,0.973649924,1.542377981
524,290000,0.0108,0.1,2.965066938,0.120505591,7.66804,2.586127113,63.63223429,0.613321404,0.984284695,2.586127113
2125,150000,0.0157,0.9,2.987854529,0.121431719,3.7551,1.256788094,30.92355137,0.204320916,0.967662188,1.256788094
2374,270000,0.0113,0.9,3.004256545,0.122098326,6.61681,2.202478351,54.19247107,0.545966025,0.981547252,2.20247835
267,160000,0.0152,0.1,3.019054438,0.122699739,4.33396,1.435535559,35.32167253,0.303395869,0.97168877,1.435535559
2298,230000,0.0124,0.9,3.024854412,0.12293546,5.55488,1.83641235,45.18533546,0.45545999,0.977868926,1.83641235
1927,70000,0.0243,0.9,3.048576758,0.123899579,3.45441,1.133122199,27.88072428,0.11748265,0.964132926,1.133122199
1394,300000,0.0123,0.4,3.067727628,0.177977285,3.03049,0.987861495,17.02739763,-0.012287659,0.941271119,0.987861495
2481,330000,0.0102,0.9,3.088461327,0.125520558,8.35937,2.706645515,66.59761662,0.630538985,0.984984448,2.706645515
23,60000,0.0267,0.1,3.108081098,0.126317941,4.22792,1.360299126,33.47046323,0.264867571,0.970122911,1.360299126
1565,370000,0.011,0.4,3.119320674,0.180970507,3.48755,1.118047923,19.27137221,0.105583956,0.948109559,1.118047923
2077,130000,0.0173,0.9,3.119360909,0.126776372,3.75832,1.204836539,29.64527175,0.170011891,0.966267808,1.204836539
2317,240000,0.0123,0.9,3.15297815,0.128142637,6.30584,1.999963114,49.20953827,0.499990778,0.979678736,1.999963114
1589,380000,0.0109,0.4,3.167673903,0.183775768,3.67074,1.158812464,19.97401529,0.137047597,0.949934954,1.158812464
